EntityType,ENTITY_ID,GB_LotNumber,GB_Route,GB_RouteStep,CollectionDate,GB_SubLotNumber,GB_Tester,GB_TestProgram,GB_TestName,GB_Site_Id,GB_HardWareBin,GB_SoftwareBin,GB_PIC_CARRIER,GB_SUBS_CARRIER,GB_WAFFLEPACK1_ID,GB_WAFFLEPACK2_ID
Wafer,M94294-06,M94294,12,58,8/4/2022 10:51,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/23/2022 9:06,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,7/31/2022 14:50,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/15/2022 8:49,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/4/2022 11:11,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/26/2022 13:00,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/19/2022 13:21,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,7/29/2022 15:27,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,7/31/2022 14:47,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/4/2022 20:38,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/23/2022 8:57,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/2/2022 10:32,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/19/2022 13:28,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-02,M94294,12,58,7/11/2022 15:59,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/24/2022 19:44,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-02,M94294,12,58,7/15/2022 8:43,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/6/2022 9:04,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/23/2022 8:51,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/8/2022 13:07,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/5/2022 13:22,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/7/2022 8:20,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/8/2022 13:16,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/19/2022 9:09,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/24/2022 19:52,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/19/2022 9:30,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/7/2022 8:23,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-06,M94294,12,58,7/19/2022 8:42,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/7/2022 8:27,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/7/2022 13:33,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/19/2022 13:19,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/24/2022 19:49,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,7/31/2022 14:02,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/5/2022 13:19,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/15/2022 8:30,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/1/2022 15:59,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/1/2022 13:46,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/15/2022 8:34,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-04,M94294,12,58,7/23/2022 9:15,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
Wafer,M94294-05,M94294,12,58,8/7/2022 13:37,,,NULL,AA_MPD_0,0,0,0,NULL,NULL,NULL,NULL
